algorithm_name,dataset_size,data_corelated,avg_execution_time,avg_memory_usage,worst_solution_fitness,best_solution_fitness,avg_solution_fitness,variance_solution_fitness
ClassicEvolutional,24,False,0.903217,0.147908,90.477908,91.121714,91.014413,0.057567
PBIL,26,True,0.013955,0.084364,30.136431,31.689097,31.404728,0.191919
ClassicEvolutional,26,True,0.90033,0.15642,31.640173,31.689097,31.687466,7.7e-05
PBIL,26,False,0.013676,0.084364,64.042277,81.64467,77.588368,17.311505
ClassicEvolutional,26,False,0.895635,0.15642,81.64467,81.64467,81.64467,0.0
PBIL,28,True,0.01395,0.09054,34.474121,35.950751,35.428683,0.211093
ClassicEvolutional,28,True,0.901898,0.16498,35.950751,35.950751,35.950751,0.0
PBIL,28,False,0.014037,0.09054,88.330622,107.968164,97.491551,31.316118
ClassicEvolutional,28,False,0.902595,0.164974,107.968164,107.968164,107.968164,0.0
PBIL,30,True,0.014253,0.096716,36.584844,42.079242,38.955859,2.187681
ClassicEvolutional,30,True,0.903493,0.17354,42.079242,42.079242,42.079242,0.0
PBIL,30,False,0.014334,0.096716,65.789585,82.987345,72.957975,23.520046
ClassicEvolutional,30,False,0.904384,0.173594,84.941264,84.941264,84.941264,0.0
PBIL,32,True,0.014466,0.102892,34.271778,39.881418,37.23204,2.279412
ClassicEvolutional,32,True,0.904166,0.182101,39.881418,39.881418,39.881418,0.0
PBIL,32,False,0.01473,0.102892,52.536624,83.84605,65.993749,49.605638
ClassicEvolutional,32,False,0.902554,0.182095,83.84605,83.84605,83.84605,0.0
PBIL,34,True,0.014803,0.109068,33.383493,43.689536,38.480989,8.899493
ClassicEvolutional,34,True,1.024009,0.190661,43.689536,43.689536,43.689536,0.0
PBIL,34,False,0.015243,0.109068,79.515014,104.389945,89.871558,51.69321
ClassicEvolutional,34,False,1.026819,0.190667,111.436705,113.643134,113.054753,0.952029
PBIL,36,True,0.015609,0.115244,32.581442,60.809462,46.013136,81.791149
ClassicEvolutional,36,True,1.027057,0.199221,61.063127,61.063127,61.063127,0.0
PBIL,36,False,0.015381,0.115244,72.402278,137.655143,95.732354,226.383208
ClassicEvolutional,36,False,1.025873,0.199221,137.655143,137.655143,137.655143,0.0
PBIL,38,True,0.015735,0.12142,-984.059757,43.596094,-27.915717,47022.59359
ClassicEvolutional,38,True,1.031883,0.207781,50.494102,52.148136,52.093001,0.088154
PBIL,38,False,0.015713,0.12142,152.074805,223.687917,177.532165,292.438827
ClassicEvolutional,38,False,1.018601,0.207781,242.728789,242.728789,242.728789,0.0
PBIL,40,True,0.015962,0.127596,-1073.638445,47.99074,-52.240261,71081.928984
ClassicEvolutional,40,True,1.021306,0.216341,50.411897,50.411897,50.411897,0.0
PBIL,40,False,0.016331,0.127596,93.199543,161.906151,131.079774,332.62678
ClassicEvolutional,40,False,1.021366,0.216341,193.632349,199.299224,195.899099,7.707234
PBIL,42,True,0.016325,0.133772,-1762.541946,54.670159,-695.784544,470831.751716
ClassicEvolutional,42,True,1.023657,0.224902,56.86338,57.821437,57.278538,0.225389
PBIL,42,False,0.016353,0.133772,-1011.334837,117.631226,-49.055108,81873.567948
ClassicEvolutional,42,False,1.021,0.224902,146.491632,146.491632,146.491632,0.0
PBIL,44,True,0.016256,0.139954,-2481.235196,47.303045,-1301.715442,631086.725556
ClassicEvolutional,44,True,1.024386,0.233462,53.046645,56.939042,56.549803,1.363568
PBIL,44,False,0.016377,0.139948,-2377.913845,70.662278,-858.820842,561781.918784
ClassicEvolutional,44,False,1.023094,0.233462,157.577289,157.577289,157.577289,0.0
PBIL,46,True,0.016676,0.146124,-4230.65697,55.684028,-1810.489792,1584095.956473
ClassicEvolutional,46,True,1.022478,0.242022,59.277547,59.277547,59.277547,0.0
PBIL,46,False,0.016554,0.146124,-1260.917964,245.971204,12.009477,94711.137437
ClassicEvolutional,46,False,1.011238,0.242022,283.187698,283.187698,283.187698,0.0
PBIL,48,True,0.017091,0.1523,-5504.083901,-134.326142,-3686.132607,1460559.119918
ClassicEvolutional,48,True,1.021522,0.250582,60.568572,60.568572,60.568572,0.0
PBIL,48,False,0.01681,0.1523,-4007.785201,122.682498,-1350.177322,1450520.85262
ClassicEvolutional,48,False,1.018995,0.250576,213.432291,213.432291,213.432291,0.0
PBIL,50,True,0.017081,0.158476,-8782.479043,53.914746,-4826.555214,3961605.453678
ClassicEvolutional,50,True,1.017286,0.259136,60.568959,61.808635,61.726894,0.093554
PBIL,50,False,0.017166,0.158476,-4468.624628,132.827072,-1975.106536,2058577.538538
ClassicEvolutional,50,False,1.017355,0.259142,297.369574,297.369574,297.369574,0.0
PBIL,55,True,0.017805,0.173473,-14699.49894,-4069.115111,-9617.986298,6414142.691353
ClassicEvolutional,55,True,1.019001,0.280543,65.407904,65.407904,65.407904,0.0
PBIL,55,False,0.0178,0.173473,-7596.660072,180.231358,-4048.368192,3990394.745472
ClassicEvolutional,55,False,1.019406,0.280549,381.704021,381.704021,381.704021,0.0
PBIL,60,True,0.018252,0.183191,-21771.188734,-10203.69419,-16922.106018,9855313.742089
ClassicEvolutional,60,True,1.017385,0.301943,75.561,75.561,75.561,0.0
PBIL,60,False,0.018355,0.183191,-15384.231158,-3839.331265,-10501.081164,8761968.216525
ClassicEvolutional,60,False,1.022208,0.301943,415.799498,415.799498,415.799498,0.0
PBIL,65,True,0.062237,0.192909,-30089.068345,-15626.025462,-23695.733663,13911999.797218
ClassicEvolutional,65,True,1.021317,0.323344,80.04418,80.04418,80.04418,0.0
PBIL,65,False,0.062008,0.192909,-27552.165594,-9829.722075,-20537.745802,13934251.804382
ClassicEvolutional,65,False,1.031395,0.323344,334.724217,334.724217,334.724217,0.0
PBIL,70,True,0.062678,0.202627,-42775.027903,-22780.84134,-34122.646339,32466270.322718
ClassicEvolutional,70,True,1.014532,0.34475,87.346583,87.346583,87.346583,0.0
PBIL,70,False,0.063041,0.202627,-28785.103556,-12577.502639,-22261.270754,15743709.94588
ClassicEvolutional,70,False,0.993563,0.344744,436.460064,436.460064,436.460064,0.0
PBIL,75,True,0.066238,0.212345,-57406.385393,-14731.063836,-45262.09779,82119293.745402
ClassicEvolutional,75,True,1.001812,0.366145,86.564938,86.781719,86.75305,0.005343
PBIL,75,False,0.064698,0.212345,-49843.961928,-29677.942108,-39826.408242,25925636.528762
ClassicEvolutional,75,False,1.000971,0.366145,384.743624,384.743624,384.743624,0.0
PBIL,80,True,0.064063,0.222063,-78867.426365,-45033.950736,-66611.104038,48675246.722395
ClassicEvolutional,80,True,1.002597,0.387545,99.296607,103.699797,103.259478,1.744927
PBIL,80,False,0.061886,0.222063,-57517.5253,-33422.919551,-45993.852533,42572353.025015
ClassicEvolutional,80,False,1.004738,0.387545,601.150029,601.150029,601.150029,0.0
PBIL,85,True,0.06444,0.231787,-100507.418025,-60166.754953,-83605.302767,84326013.219611
ClassicEvolutional,85,True,1.007805,0.408945,108.607472,109.20627,109.18631,0.011554
PBIL,85,False,0.064387,0.231781,-76482.317133,-46055.101133,-62996.661744,60219503.578442
ClassicEvolutional,85,False,1.018744,0.408945,636.603888,636.603888,636.603888,0.0
PBIL,90,True,0.064236,0.241499,-121503.751091,-77637.254647,-106062.977934,83121617.429309
ClassicEvolutional,90,True,1.015817,0.430346,105.764739,108.527714,106.740786,1.605363
PBIL,90,False,0.067611,0.241499,-88958.830456,-55978.738675,-75571.139108,63741062.337169
ClassicEvolutional,90,False,0.998556,0.430346,699.514435,714.066298,713.096173,13.175973
PBIL,95,True,0.064853,0.251223,-155317.473627,-102737.336615,-133385.501395,177034751.167181
ClassicEvolutional,95,True,0.999435,0.451746,118.9345,118.9345,118.9345,0.0
PBIL,95,False,0.063838,0.251217,-147827.100619,-95128.625122,-118925.581434,156698999.625217
ClassicEvolutional,95,False,1.015214,0.451746,806.960901,806.960901,806.960901,0.0
