algorithm_name,dataset_size,data_corelated,avg_execution_time,avg_memory_usage,worst_solution_fitness,best_solution_fitness,avg_solution_fitness,variance_solution_fitness
PBIL,1,True,0.009795,0.007576,0.025201,0.025201,0.025201,0.0
ClassicEvolutional,1,True,0.28063,0.017962,0.025201,0.025201,0.025201,0.0
PBIL,1,False,0.00951,0.007425,1.0,1.0,1.0,0.0
ClassicEvolutional,1,False,0.278394,0.017937,1.0,1.0,1.0,0.0
PBIL,2,True,0.009918,0.007662,2.816042,2.816042,2.816042,0.0
ClassicEvolutional,2,True,0.281313,0.01938,2.816042,2.816042,2.816042,0.0
PBIL,2,False,0.009935,0.007662,1.507507,1.507507,1.507507,0.0
ClassicEvolutional,2,False,0.280494,0.019316,1.507507,1.507507,1.507507,0.0
PBIL,3,True,0.009993,0.007898,3.638275,3.638275,3.638275,0.0
ClassicEvolutional,3,True,0.279164,0.020697,3.638275,3.638275,3.638275,0.0
PBIL,3,False,0.009911,0.007898,2.772512,2.772512,2.772512,0.0
ClassicEvolutional,3,False,0.279663,0.020697,2.772512,2.772512,2.772512,0.0
PBIL,4,True,0.010187,0.008135,3.943188,3.943188,3.943188,0.0
ClassicEvolutional,4,True,0.279498,0.022136,3.943188,3.943188,3.943188,0.0
PBIL,4,False,0.009893,0.008135,5.157571,5.157571,5.157571,0.0
ClassicEvolutional,4,False,0.280945,0.022072,5.157571,5.157571,5.157571,0.0
PBIL,5,True,0.010035,0.008371,6.808521,6.808521,6.808521,0.0
ClassicEvolutional,5,True,0.27998,0.023459,6.808521,6.808521,6.808521,0.0
PBIL,5,False,0.010172,0.008371,4.686013,4.686013,4.686013,0.0
ClassicEvolutional,5,False,0.281387,0.023459,4.686013,4.686013,4.686013,0.0
PBIL,6,True,0.010218,0.008833,9.417583,9.417583,9.417583,0.0
ClassicEvolutional,6,True,0.281392,0.02484,9.417583,9.417583,9.417583,0.0
PBIL,6,False,0.010666,0.008833,10.027076,10.027076,10.027076,0.0
ClassicEvolutional,6,False,0.280421,0.02484,10.027076,10.027076,10.027076,0.0
PBIL,7,True,0.01018,0.00988,9.827394,9.827394,9.827394,0.0
ClassicEvolutional,7,True,0.28065,0.02622,9.827394,9.827394,9.827394,0.0
PBIL,7,False,0.010217,0.00988,8.716003,8.716003,8.716003,0.0
ClassicEvolutional,7,False,0.2804,0.02622,8.716003,8.716003,8.716003,0.0
PBIL,8,True,0.010727,0.010927,9.376177,9.376177,9.376177,0.0
ClassicEvolutional,8,True,0.280391,0.027601,9.376177,9.376177,9.376177,0.0
PBIL,8,False,0.01018,0.010927,11.829168,11.829168,11.829168,0.0
ClassicEvolutional,8,False,0.280591,0.027596,11.829168,11.829168,11.829168,0.0
PBIL,9,True,0.010428,0.011974,16.337183,16.337183,16.337183,0.0
ClassicEvolutional,9,True,0.280213,0.028982,16.337183,16.337183,16.337183,0.0
PBIL,9,False,0.010213,0.011974,19.544843,19.544843,19.544843,0.0
ClassicEvolutional,9,False,0.280761,0.028982,19.544843,19.544843,19.544843,0.0
PBIL,10,True,0.010548,0.013022,12.668102,12.668102,12.668102,0.0
ClassicEvolutional,10,True,0.281093,0.030363,12.668102,12.668102,12.668102,0.0
PBIL,10,False,0.010392,0.013022,16.99818,16.99818,16.99818,0.0
ClassicEvolutional,10,False,0.279886,0.030363,16.99818,16.99818,16.99818,0.0
PBIL,12,True,0.010393,0.015116,19.34842,19.34842,19.34842,0.0
ClassicEvolutional,12,True,0.280311,0.033127,19.34842,19.34842,19.34842,0.0
PBIL,12,False,0.0103,0.015116,25.665908,25.665908,25.665908,0.0
ClassicEvolutional,12,False,0.279384,0.033125,25.665908,25.665908,25.665908,0.0
PBIL,14,True,0.011296,0.01721,18.705694,18.705694,18.705694,0.0
ClassicEvolutional,14,True,0.280196,0.035887,18.705694,18.705694,18.705694,0.0
PBIL,14,False,0.010705,0.01721,41.048946,41.048946,41.048946,0.0
ClassicEvolutional,14,False,0.281103,0.035881,41.048946,41.048946,41.048946,0.0
PBIL,16,True,0.010721,0.019304,24.791697,24.791697,24.791697,0.0
ClassicEvolutional,16,True,0.280032,0.038649,24.791697,24.791697,24.791697,0.0
PBIL,16,False,0.010771,0.019304,52.03933,54.093844,53.888393,0.379893
ClassicEvolutional,16,False,0.2798,0.038649,54.093844,54.093844,54.093844,0.0
PBIL,18,True,0.011083,0.021399,28.201859,29.718418,29.566762,0.206995
ClassicEvolutional,18,True,0.280155,0.041411,29.718418,29.718418,29.718418,0.0
PBIL,18,False,0.010793,0.021399,54.386671,59.140566,58.089083,1.994012
ClassicEvolutional,18,False,0.278631,0.041411,59.140566,59.140566,59.140566,0.0
PBIL,20,True,0.010734,0.023493,34.599333,37.497505,36.730407,1.045469
ClassicEvolutional,20,True,0.278485,0.044227,37.497505,37.497505,37.497505,0.0
PBIL,20,False,0.010673,0.023493,66.861837,75.460328,73.159968,7.4254
ClassicEvolutional,20,False,0.278882,0.044227,75.460328,75.460328,75.460328,0.0
PBIL,22,True,0.0109,0.025587,31.660872,38.481367,37.34559,2.782915
ClassicEvolutional,22,True,0.278355,0.046928,38.481367,38.481367,38.481367,0.0
PBIL,22,False,0.010682,0.025593,64.490768,76.338712,71.532205,13.627576
